"Curator Talk – Labyrinth: Knossos, Myth & Reality",,17:00 - 18:00,,"With Dr Andrew Shapland, Sir Arthur Evans Curator of Bronze Age and Classical Greece at the Ashmolean"
Sir Stephen Hough - SJE Arts International Piano Series,,19:30 - 21:30," Scriabin: Piano Sonata No. 5, Op. 53",Mompou: Cants Màgics
Bobbi Pickard in conversation with David Isaac,,17:30 - 18:30,", a former Chair of Stonewall and the Equality & Human Rights Commission.",Join Bobbi Pickard in conversation with 
Frank Neffke: Inventing modern invention - the professionalization of technological progress in the US,,14:30,,"As invention in the US shifted from craftsmanship to a science-based activity in the early 20th century, profound changes happened in the production of knowledge. Using historical records on the universe of inventors, and research laboratories, matched to decennial census records between 1850 and 1940, we find that as inventions start becoming more complex (combining more technologies) and innovative (using increasingly newer technologies), they reflect qualitative shifts in how individuals, teams and geography produce knowledge that persist until today."
Italian Language Weekend: Intermediate,29 Apr 2023,,+44 (0)1865 270368,Do you want to give your Italian a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
Is AI bad for democracy? Analyzing AI’s impact on epistemic agency,,17:30 - 19:00,,"Cases such as Cambridge Analytica or the use of AI by the Chinese government suggest that the use of artificial intelligence (AI) creates some risks for democracy. This paper analyzes these risks by using the concept of epistemic agency and argues that the use of AI risks to influence the formation and the revision of beliefs in at least three ways: the direct, intended manipulation of beliefs, the type of knowledge offered, and the creation and maintenance of epistemic bubbles. It then suggests some implications for research and policy.
"
Artificial Intelligence and the Labour Market,,9:45 - 17:00,+44 (0)1865 270368,This interactive day school will bring together cutting-edge research on advances in natural language processing and machine learning in the labour market and the relevance of its use for policies of re-skilling and up-skilling of workers.
Intaglio Printmaking 2-Day Workshop,1 Apr 2023,10:30 - 16:00, Booking required,"In this two-day in-person workshop, we will be delving into Ashmolean's collection of mythological creatures and using them as inspiration for our own unique creations."
Cascading Principles - Conrad Shawcross and James Sparks with Fatos Ustek,,17:00 - 18:15, to register.,"Cascading Principles is an exhibition of nearly 40 stunning, mathematically inspired sculptures which are living alongside the mathematicians that inspired them in the Andrew Wiles Building, home to Oxford Mathematics. In this 'lecture', chaired by exhibition curator Fatos Ustek, Conrad will talk about what motivates his work, and how the possibilities and uncertainties of science inform his art. In turn, mathematician James Sparks will describe how a mathematician responds to art motivated by their subject."
Marina Abramović @ Pitt Rivers Museum by Clare Harris,,18:30 - 19:30,,"Professor Clare Harris will give a talk exploring her experience of working with the internationally celebrated performance artist Marina Abramović @ Pitt Rivers Museum installation that is currently on display in the heart of the Pitt Rivers Museum. The artist undertook a research residency at the museum in August 2021, from which she created the work now on view at the Pitt Rivers and which also inspired her Gates and Portals installation at Modern Art Oxford."
Principal's Conversation: Ambassador Andrzej Antoszkiewicz,,17:30 - 18:30,,"Join Principal John Bowers KC in conversation with Ambassador Andrzej Antoszkiewicz, who is Deputy Head of Human Resources Management at the Organisation for Economic Co-operation and Development (OECD) and, prior to this, worked at FIFA on the World Cup in Qatar, and at NATO."
Understanding Bonhoeffer Today,,10:00 - 16:00,,"In a world that continues to be fractured by the evils of systemic racism, in which popularist nationalism has grown in many parts of the world and where we are still trying to come to terms with the legacies of slavery and colonialism, it can be argued that contemporary Christian mission and ministry has much to learn from the activism and theology of Dietrich Bonhoeffer. The challenges that faced Bonhoeffer are not the same as those that are confronting us in our present epoch. And yet the challenge to ‘carry the cross’ and being a distinctive presence in the world representing Jesus Christ has not changed."
International Women's Day: In conversation with...Joeli Brearley,,17:30 - 18:30," on International Women’s Day in 2015, as a space for mothers to share their stories of discrimination. The project quickly grew and today ",Our annual International Women’s Day talk. Kellogg Fellow Dr Yasmin Khan will be in conversation with Joeli Brearley.
German Language Weekend: Advanced,13 May 2023,,+44 (0)1865 270368,Do you want to give your German a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching in classes limited to 18 participants.
The doped Mott state and pseudo gap of cuprate high T c superconductors studied by angle resolved photoelectron spectroscopy,,14:00 - 15:00,,"Followed by tea, coffee and cakes"
Noble Violence in Early Modern Europe,,9:45 - 17:00,+44 (0)1865 270368,"This day school brings together four of the principal experts on the topic of noble honour and duelling in early modern Britain and Europe, and places elite violence in England into comparative perspective. Join us in Oxford or online."
Christ Church Seasonal Gardens Tour,,14:30,,"Take a seasonal tour of Christ Church's beautiful private gardens and Meadow with our Head Gardener, John James. Learn about their history, conservation, current and future planting schemes and enjoy a few hours of peace and quiet away from the bustling city."
German Language Weekend: Beginners,13 May 2023,,+44 (0)1865 270368,Do you want to give your German a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching in classes limited to 18 participants.
"Parliament at War: The House of Commons and the British Revolution, 1640-1660",,9:45 - 17:00,+44 (0)1865 270368,"Celebrating the launch of nine new volumes by the History of Parliament's House of Commons 1640-1660 section. Entitled, 'Parliament at War' it explores the role of MPs in the revolutionary struggles of the mid-17th century. Join us in Oxford or watch online."
French Language Weekend: Upper Intermediate,6 May 2023,,+44 (0)1865 270368,Do you want to give your French a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
German Language Weekend: Lower Intermediate,13 May 2023,,+44 (0)1865 270368,Do you want to give your German a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
The Beethoven String Quartets,,9:45 - 17:00,+44 (0)1865 270368,"Beethoven's string quartets span his career, charting the evolution of his musical style. Join Peter Copley as he explores these works, following the development of Beethoven's music from his early quartets through to the works of his later life."
The Universe in a Doughnut: How Gluing Shapes can Help Justify String Theory,,9:45 - 17:00,+44 (0)1865 270368,"What do physics, maths, and doughnuts have in common? How do they relate to understanding the Universe? In answering these questions, we will show how performing ""surgery"" on shapes can provide a mathematical explanation for a Unifying Theory of Physics."
Elasticsearch and the Elastic Stack (NoSQL Database),,9:45 - 17:00,+44 (0)1865 270368,"Discover why NoSQL databases can be more powerful than traditional SQL databases during this online day course. You will also learn how to use elasticsearch and useful tools such as Kibana for data visualisation, Logstash and FileBeats for data ingestion."
Angela Hewitt - SJE Arts International Piano Series,,19:30 - 21:30," Mozart: Sonata in D major, K576","Mozart: Fantasy in D minor, K397"
Alice in Wonderland Mad Hatter's Tea Party,,15:00,,"Christ Church, the home of Alice in Wonderland and its creator Lewis Carroll, invites you to take afternoon tea in the exclusive surroundings of its Great Hall. The tea includes a selection of finger sandwiches, cakes and tarts, carefully crafted to reflect our unique associations with Alice in Wonderland. Tea will be served at 3pm with up to 30 guests and includes a talk on the author and his extraordinary stories."
German Language Weekend: Upper Intermediate,13 May 2023,,+44 (0)1865 270368,Do you want to give your German boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
Positive Psychology,,9:45 - 17:00,Email: ,"Positive Psychology offers a direct approach to help people create strategies towards wellbeing. Changing our interpretation of the world (explanatory style) can help us feel happier, healthier and more positive, and become more resilient."
Labyrinth: Exploring Knossos at the Ashmolean Museum ,,10:00 - 16:45,+44 (0)1865 270368,Explore the Ashmolean Museum's temporary exhibition Labyrinth through a day of lectures and discussion introducing the archaeology of Knossos and the at times controversial interpretation of Sir Arthur Evans' excavations.
Wildlife and People: Conflict and Conservation,,9:45 - 17:00,+44 (0)1865 270368,"While people value animals as a source of income, food or medicine, communities living with wildlife may consider it a nuisance or threat. Join us to explore the intricate relationship between humans and animals from a conservation biology perspective."
The Psychology of Happiness,,9:45 - 17:00,+44 (0)1865 270368,"Searching for happiness has been a major preoccupation through centuries. At present, more than ever, we need to answer those simple questions: what is happiness? How to get there? Positive psychology offers some interesting answers."
'Grimsby and Blackpool- how community power is helping them with levelling up',,17:00 - 18:30,,We know that flourishing communities and good work sits at the heart of good lives and wealthy societies.
French Language Weekend: Intermediate,6 May 2023,,+44 (0)1865 270368,Do you want to give your French a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
Victorian Architecture and Science Weekend,12 May 2023,,+44 (0)1865 270368,"The Victorian Era produced innovation in science and technology. This course explores how these innovations affected art and architecture with lectures and visits to Oxford's collections, exploring the design of laboratories to the practice of painting."
French Language Weekend: Advanced Plus,6 May 2023,,+44 (0)1865 270368,Do you want to give your French a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching in classes limited to 18 participants.
French Language Weekend: Lower Intermediate,6 May 2023,,+44 (0)1865 270368,Do you want to give your French a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
UFOs to Psychics: Thinking about Weird Things,,10:15 - 17:30,+44 (0)1865 270368,"Philosophy and psychology combine to examine a range of weird beliefs and experiences. How much credence should we give to reports of alien abduction, psychic powers, angels, and so on? To what extent should we trust our own experiences of these things?"
French Language Weekend: Beginners,6 May 2023,,+44 (0)1865 270368,Do you want to give your French a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching in classes limited to 18 participants.
French Language Weekend: Advanced,6 May 2023,,+44 (0)1865 270368,Do you want to give your French a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
Trinity Recitals: Ailish Tynan (soprano) & Iain Burnside (piano),,14:30 - 16:30,,"Soprano Ailish Tynan is one of the wonders of the current operatic scene – a singer as charismatic and communicative as her voice is brilliant. But this magical recital programme finds her exploring a more intimate world, as she joins legendary accompanist Iain Burnside in songs inspired by jazz, by German romanticism and by the poetry of Shakespeare. In the hands of Tynan and Burnside, each one is a miniature drama in its own right."
"‘An illustrated encyclopaedia of this great and varied universe’: Mapping the Crystal Palace at Sydenham, 1854–1936",,16:30 - 18:00,,"In this seminar, Madeline Hewitson will examine a number of ground plans of the Crystal Palace at Sydenham, a private enterprise based on the Great Exhibition of 1851 which sat at the intersection of Victorian arts education and the entertainment industry. These ground plans reveal the Palace curators' intricate strategies for educating visitors about the history of empires and the interlinked progress of art and design."
Members Talk: The Real and the Romantic,,15:30 - 16:30,,"An exclusive in-person and online talk for members of the Ashmolean with Frances Spalding, author and art historian"
Fossils and the History of Life,,9:15 - 17:15,+44 (0)1865 270368,"A wide-ranging introduction to this inspiring subject. Peter Sheldon will cover how fossils get preserved, an overview of the history of life, mass extinctions and evolutionary radiations, with a chance to study many real fossils in the teaching room."
Can you trust politicians? Should you?,,17:00 - 18:30,+44 (0)1865 270368,"How much of a problem is the degradation of trust, honesty, and integrity in politics? Is it reasonable to expect politicians to be highly trustworthy? Join our panel event in Oxford to explore this topic."
Living with Nature: Mesolithic Britain and Ireland's Last Hunter-Gatherers,,9:45 - 17:15,+44 (0)1865 270368,Explore the latest archaeological research into the lifestyles and changing landscapes of prehistoric hunter-gatherers in Mesolithic Britain and Ireland with archaeologists actively involved in recent ground-breaking studies. Join in Oxford or online.
German Language Weekend: Intermediate,13 May 2023,,+44 (0)1865 270368,Do you want to give your German a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
Modern Lithium-Ion Batteries: More than a Million Miles and Possibly a Century of Life,,17:00 - 18:30,,"The 2023 Lorna Casselton Memorial Lecture, entitled ""Modern Lithium-Ion Batteries: More than a Million Miles and Possibly a Century of Life"", will be given by Professor Jeff Dahn (Dalhousie University), former Head of Tesla Advanced Battery Research, at 5 pm on Thursday 4th May in the Mathematical Institute Lecture Theatres 1 and 2, Woodstock Road, Oxford. The Lecture will also be livestreamed."
Wren300 Concert: Instruments of Time and Truth,,14:30 - 16:00,,"This special concert in the atmospheric surroundings of Trinity’s Wren modified Chapel offers a musical glimpse of London in the later years of the architect’s extraordinary life. It showcases composers who were active around 1723 and who represent the musical styles prevalent in London in the first three decades of the 18th century as Wren stepped back to survey his astonishing lifetime’s work. The programme features trio sonatas by William Croft (1678-1727), sacred songs of John Weldon (1676-1736) and secular songs and theatre music by John Eccles (1668-1735)."
Contemporary Irish Literature,,9:45 - 17:00,+44 (0)1865 270368,"How have the events of the century since the 1922 partition of Ireland shaped contemporary Irish literature? We will discuss a range of works by Irish writers (poets, fiction-writers and playwrights), from both sides of the border, from the past 20 years."
Italian Language Weekend: Advanced,29 Apr 2023,,+44 (0)1865 270368,Do you want to give your Italian a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching in classes limited to 18 participants.
Myths in Art: Focus on Sandro Botticelli,,14:00 - 16:00,,"Short course of 2 talks with Alice Foster, art historian."
Fossils and the History of Life,,9:15 - 17:15,+44 (0)1865 270368,"A wide-ranging introduction to this inspiring subject. Peter Sheldon will cover how fossils get preserved, an overview of the history of life, mass extinctions and evolutionary radiations, with a chance to study many real fossils in the teaching room."
Natural Language Processing: A Weekend School,29 Apr 2023,,+44 (0)1865 270368,"Natural Language Processing is a field of AI in which computers analyse human language by performing tasks such as translation. This course will give you all the tools to get started with text analysis, and teach you the fundamentals of machine learning."
Members Talk: The Camel that Fled the Nazis,,15:30 - 16:30,,"An exclusive in-person and online talk for members of the Ashmolean with Dr Katharina Ulmschneider, Senior Research Fellow Worcester College, Oxford and Director HEIR (Historic Environment Image Resource)."
Italian Language Weekend: Lower Intermediate,29 Apr 2023,,+44 (0)1865 270368,Do you want to give your Italian a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
Italian Language Weekend: Beginners,29 Apr 2023,,+44 (0)1865 270368,Do you want to give your Italian a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching in classes limited to 18 participants.
Italian Language Weekend: Post-beginners,29 Apr 2023,,+44 (0)1865 270368,Do you want to give your Italian a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
Contemporary Developments in Coaching,,9:45 - 17:00,+44 (0)1865 270368,"Drawing on psychology, sociology, anthropology and education, this day aims to help coaches of all backgrounds, and levels of experience, explore recent developments that affect their practice, highlight sources and pinpoint themes to watch in the future."
Open Event: Undergraduate Certificate of Higher Education,,18:00 - 19:00,". This will give you the chance to meet the course team, discover more about the programme and have your questions answered.","Join us on Thursday 13 April 2023, from 6pm (UK time) for a virtual open event for the "
Italian Language Weekend: Upper Intermediate,29 Apr 2023,,+44 (0)1865 270368,Do you want to give your Italian a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
The Medieval Household,,9:45 - 17:00,+44 (0)1865 270368,"The medieval household, in its many different sizes and forms, gives us unique insights into the lives, preoccupations, and customs of medieval people. This day school explores the topic using a variety of sources, perspectives, and scholarly approaches."
Open Event: Undergraduate Diploma in Creative Writing,,19:00 - 21:00,". This will give you the chance to meet the Course Director, Dr John Ballam, discover more about the different study options and have your questions answered.","Join us on Tuesday 4 April 2023, from 7-9pm (UK time) for a virtual open event for the part-time "
Open event: Undergraduate Advanced Diploma in Local History (Online),,17:30 - 19:00,,"Join us on Monday 3 April 2023, from 5:30-7pm (UK time) for a virtual open event for the part-time and fully online Undergraduate Advanced Diploma in Local History. This will give you the chance to meet the Course Director, discover more about the programme and have your questions answered."
The Origins of War Photography,,13:00 - 16:30,+44 (0)1865 270380,How can photographs help us to understand the history of warfare? This afternoon of talks covers the origins of war photography and its early practices
Developing Further Assignment Writing Skills,,10:00 - 13:00,01865 280893,A more advanced workshop for experienced essay and report writers who would like to improve the style and structure of their writing and to develop the technique of persuasive argument.
The Just War Doctrine: An Introduction,,9:45 - 17:00,+44 (0)1865 270368,"Can wars ever be just? Does it matter? We will look at the traditions of the ""just war doctrine"" to see how ethics coincides - or collides - with deadly fighting. We'll discuss Hiroshima, Ukraine and World War III. Join us in Oxford or online."
Trinity Recitals: Frauenliebe Reimagined with Claire Booth (soprano),,14:30 - 15:30,,"“The joy is the love, the love is the joy” declares the narrator of Frauenliebe und-leben. “I have said it, and won’t take it back!” Robert Schumann’s great song cycle opens up some remarkably current perspectives on identity and the human heart, making it suitable for a modern reinterpretation. Frauenliebe Reimagined brings together soprano and Trinity alumna Claire Booth, classical pianist Alisdair Hogarth and jazz legend Jason Rebello, who will explore Schumann through a prism of musical styles, mapping the frontiers of jazz and classical music."
Painting in Watercolour Course (5 weeks),,10:30 - 13:00,,"A 5-week practical watercolour painting course, over five weeks in April and May 2023 with artist John Somerscales"
A Day School on Neuropsychoanalysis,,10:00 - 17:00,+44 (0)1865 270368,"An online day school presenting experimental and theoretical information for clinical and experimental psychologists, therapists, counsellors, psychiatrists, and other clinicians, taking as a starting point that brain and mind are linked and overlapping."
From Geographical Intelligence to Major Head Injuries: the role of Oxford colleges during WW2,,2:30,.,"Kellogg has the pleasure of welcoming Kate Alderson-Smith, Fellow Librarian, Harris Manchester College, Oxford, and Amanda Ingram, Archivist, St Hugh’s and Pembroke Colleges, Oxford, for a talk about the many different roles played by Oxford Colleges, particularly St Hugh’s and Harris Manchester colleges during World War Two."
Open event: Undergraduate Diploma in English Social and Local History,,17:30 - 19:00,,"Join us on Monday 3 April 2023, from 5:30-7pm (UK time) for a virtual open event for the part-time Undergraduate Diploma in English Social and Local History. This will give you the chance to meet the Course Director, discover more about the programme and have your questions answered."
Generative Ethics and the New Bing,,17:00 - 18:30," if you don’t do what it says. Recent (often prescient) work helps to plot the potential harms of AI systems that generate text and images on demand, but can moral philosophy add a useful lens to help us understand which risks should concern us most, and which we can (for now) discount? For example, how should we weigh and respond to the risks of manipulative but narrow dialogue agents against hypothetical future systems with more general capabilities? And how will the prospect of governing algorithmic systems with natural language prompts affect long-standing debates in machine ethics? This talk makes first steps in developing a ‘generative (AI) ethics’, offering suggestions for how moral philosophy can help understand, prioritise, and reduce the risks posed by recent advances in AI.","Abstract: Generative AI has taken the world by storm over the last nine months, from artistic tools that may upend the creative economy, to an AI-powered ‘copilot for the web’ that just might "
A Bach Celebration,,19:30 - 21:30, Orchestral Suite No.3 in D major BWV 1068,J.S. Bach
"The Campion Lecture 2023 - Honour Thy Child: Discerning the Natural Law, Developmental Virtues, and Good Enough Parenting",,17:30 - 18:45,,"Dr Daniel De Haan, Frederick Copleston Senior Research Fellow in Philosophy and Theology in the Catholic Tradition, will be delivering the first Campion Lecture of 2023 on the subject ""Honour Thy Child: Discerning the Natural Law, Developmental Virtues, and Good Enough Parenting."""
Fossil Fascination,,13:00 - 16:00,,"Love fossils? Join us for an afternoon packed full of fossil fascination. 
"
The Known Unknowns,,18:00 - 19:00,,"Professor Mark Fricker, joint Head of the Oxford University Department of Biology, gives us an insight into the vast and interconnected underground world of fungi.
"
Epic Skies Pastel Workshop,28 Apr 2023,10:30 - 16:00,,"A 2-day practical workshop with Sandra Orme, pastel artist."
Collection Stories (online talk),,14:00 - 17:00,,"Our speakers present a collection of histories, past projects and initiatives at the Museum or University based on objects and individuals associated with their research and collections expertise."
Fossil Fascination,,13:00 - 16:00,,"Love fossils? Join us for an afternoon packed full of fossil fascination. 
"
"One Planet, One Love",26 Apr 2023,12:00 - 22:00,,This two day conference explores how 3 world faiths express love for the planet. Day 2 looks at this in terms of two Christian traditions - Baptists and Orthodox - how they understanding love for one another and for the planet also.
Psychological Disorders: An Introduction,,10:00 - 17:00,+44 (0)1865 270368,"What is normal? What is psychopathological? This one-day online course will present theories about the origins of psychological disorders, symptoms and syndromes, historical perspectives, and current treatment practices."
Spanish Language Weekend: Advanced,22 Apr 2023,,+44 (0)1865 270368,Do you want to give your Spanish a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching in classes limited to 18 participants.
Map Readings: ‘Encounters in the New World – Jesuit cartography of the Americas’ - Mirela Altić in conversation with Elizabeth Baigent,,16:30 - 18:00," (University of Chicago Press, 2022), Mirela Altic analyses maps produced by the Jesuits during their missionary work in the possessions of the Spanish, Portuguese, and French Crowns in both North and South Americas. She traces the Jesuit contribution to mapping and mapmaking from their arrival in the New World into the post-suppression period, placing it in the context of their worldwide undertakings in the fields of science and art.",In 
Developing Further Assignment Writing Skills,,10:00 - 13:00,01865 280 893,A more advanced workshop for experienced essay and report writers who would like to improve the style and structure of their writing and to develop the technique of persuasive argument.
Unlocking the benefits of venture philanthropy,,18:00 - 19:00,,
Exhibition Tour,,11:00 - 11:45,,"Join a member of our exhibition team and a research scientist for a tour of our latest exhibition, Connected Planet.
"
Silent Earth: Saving Our Insects,,19:00 - 20:00,,"Oxford Botanic Garden and Arboretum's Winter Lectures are back for 2023, with five thought-provoking expert talks."
A Song for the Heart,,19:30 - 20:30,,"Lie back and relax as you watch the sun set over our glass roof, learning about birdsongs and the dawn chorus.
"
St David's Day,,17:45 - 18:30,,
How epidemics end,,18:00 - 19:00,,
Book at Lunchtime: Guru to the World. The Life and Legacy of Vivekananda,,12:30 - 14:00,,
Members' Online Talk – Decoding Contemporary Art,,12:00 - 13:00,,"An Exclusive Online Talk for Members of the Ashmolean Museum with Sydney Smith, interim curator of Modern Art"
Members Online Talk – Pioneers of Modern Arab Art,,17:00 - 18:00,,"An Exclusive Online Talk for Members of the Ashmolean with Francesca Leoni, curator of Islamic art, Ashmolean"
Curator's Talk – Dia Al-Azzawi: Painting Poetry,,14:00 - 15:00,,"Dia Al-Azzawi: Painting Poetry with Dr Francesca Leoni, curator of Islamic Art at the Ashmolean"
Squaring the circle: insights from research into the influence of urban green infrastructure on health and well-being in older adults,,14:00 - 15:00,,Please note that this is a Hybrid event. We welcome colleagues to 66 Banbury Road or on line via Zoom:
"Sue Burge: Plants, Medicine and Magic",,17:00 - 18:30,,"Former Director of Clinical Studies at Oxford University and Honorary Consultant Dermatologist Sue Burge looks back at how plants have been used medicinally over thousands of years, explains how patients might have been treated in the Middle Ages and then describes some of the plants that underpin modern medicines. And throws in a little magic for good measure!"
Guided Highlights Tour,,15:00 - 15:45,,Join us on a 40-minute guided highlight tour of some standout objects in the collections.
Undertaking Your Extended Essay,,10:00 - 16:00,+44 (0)1865 280893,"Undertaking an independent research project on a topic you are interested in is an exciting prospect, but it can also be daunting. This session aims to build confidence in the necessary skills for undertaking and completing the extended essay."
Stephen Lacey: Borders and Beyond,,14:30 - 16:00,,"Garden writer and Trinity alumnus Stephen Lacey introduces new approaches to design and planting that have been transforming the look of gardens in Britain, Europe, and America. Starting with contemporary examples of more traditional flower gardening, including Stephen’s own garden in Wales, he will then explore new approaches to design and decoration, and the origins and principles of the nature-inspired styles of planting that feature woodland and perennial schemes."
